"State","Effective Tax Rate (2023)","Effective Tax Rate (2022)","Rank"
"Alabama","0.36%","0.31%","49"
"Alaska","0.91%","0.86%","21"
"Arizona","0.44%","0.42%","48"
"Arkansas","0.53%","0.49%","39"
"California","0.70%","0.65%","32"
"Colorado","0.50%","0.45%","41"
"Connecticut","1.48%","1.43%","3"
"Delaware","0.50%","0.46%","40"
"Florida","0.74%","0.64%","30"
"Georgia","0.77%","0.69%","26"
"Hawaii","0.32%","0.26%","50"
"Idaho","0.48%","0.44%","44"
"Illinois","1.83%","1.75%","1"
"Indiana","0.77%","0.68%","27"
"Iowa","1.23%","1.15%","11"
"Kansas","1.19%","1.08%","12"
"Kentucky","0.73%","0.67%","31"
"Louisiana","0.55%","0.50%","37"
"Maine","0.94%","0.85%","20"
"Maryland","0.90%","0.85%","22"
"Massachusetts","0.97%","0.91%","18"
"Michigan","1.15%","1.08%","14"
"Minnesota","0.99%","0.92%","16"
"Mississippi","0.58%","0.53%","36"
"Missouri","0.88%","0.79%","23"
"Montana","0.60%","0.53%","35"
"Nebraska","1.43%","1.32%","4"
"Nevada","0.49%","0.45%","42"
"New Hampshire","1.41%","1.37%","6"
"New Jersey","1.77%","1.73%","2"
"New Mexico","0.61%","0.59%","34"
"New York","1.26%","1.23%","9"
"North Carolina","0.62%","0.57%","33"
"North Dakota","0.94%","0.86%","19"
"Ohio","1.31%","1.23%","8"
"Oklahoma","0.77%","0.72%","25"
"Oregon","0.78%","0.73%","24"
"Pennsylvania","1.19%","1.14%","13"
"Rhode Island","1.05%","1.03%","15"
"South Carolina","0.47%","0.43%","47"
"South Dakota","0.99%","0.85%","17"
"Tennessee","0.49%","0.45%","43"
"Texas","1.36%","1.26%","7"
"Utah","0.47%","0.42%","46"
"Vermont","1.42%","1.33%","5"
"Virginia","0.77%","0.71%","28"
"Washington","0.75%","0.69%","29"
"West Virginia","0.48%","0.46%","45"
"Wisconsin","1.25%","1.21%","10"
"Wyoming","0.55%","0.47%","38"
"District of Columbia","0.61%","0.58%","34"

